,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
Black sesame powder (Golden Buffalo),"Inactive, completed",Seed,,"Sesame, 'black'",,ground,Golden Buffalo,,2649.7,20,53.3,8.3,16.7,0,33.3,5,0,0,0,0,0,0,95.0,21.7,0.0,0.0,0.0,,,Taiping,,300,$9.43,$10.85,,,,$36.17,74.62,,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,
Black tea,"Active, completed",Flavour,Wet,"Tea, 'black'",,brewed,Dilmah,C1040,0,0,0,,,0,0,0,0,0,0,0,0,0,100.0,100.0,0.0,0.0,0.0,,,Pak n Save,,200,$4.69,$5.39,,,,$26.95,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Blackberry, flesh and skin, raw (Generic)","Inactive, incomplete",Fruit,,Blackberry,flesh and skin,raw,Generic,L34,,1.2,0.5,,,10.1,40,82,0,1.6,4.8,3.7,0,0,18.0,6.2,0.0,17.8,12.4,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Blanched almonds, kernel, blanched (Essente)","Active, incomplete",,Dry,Blanched almonds,kernel,blanched,Essente,,2540,20.4,55.5,3.3,3.9,3.9,5,,,,,,,,,-79.8,,0.0,,,,Davis,ALMONDG1,1000,$18.38,$21.14,,,,$21.14,,,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,
Blueberry (frozen),"Inactive, incomplete",Fruit,,Blueberry,,frozen,Generic,,,,,,,,0,,,,,,,,,0.0,0.0,0.0,,,,Reso Fine Fruit - Boiron,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Blueberry, flesh and skin, raw (Generic)","Inactive, incomplete",Fruit,,Blueberry,flesh and skin,raw,Generic,L1050,,0.6,0.3,,,9.2,20,84.1,0,0,4.9,4.3,0,0,15.9,5.8,0.0,17.5,11.3,,,Gilmours,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Boysenberries, frozen (Sujon)","Active, completed",Fruit,Dry,Boysenberries,,frozen,Sujon,,227,1.1,0.7,0.7,7.2,7.1,3,86.5,0,0,3.55,3.55,0,0,13.5,4.6,0.0,13.5,8.5,,,Davis,,1000,$14.95,$17.19,,,,$17.19,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3kg
"Boysenberries, whole, raw (Watties)","Active, completed",Fruit,Dry,Boysenberries,whole,raw,Watties,L40,227,1.1,0.7,0.03,7.2,7.1,,85.2,0,0.2,2.1,2.5,0,,14.8,5.9,0.0,8.9,5.5,,,Pak n Save,,425,$3.91,$4.50,,,,$10.59,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Boysenberry compote,"Active, completed",Mix-in,z.Topping,Boysenberry compote,,,Homemade,,494.47,0.77,0.49,0.48,32.41,25.51,15.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#REF!,0.0,#N/A,#N/A,,,Home made,,1000,$11.85,$13.63,,,,$13.63,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Brown cheese,"Inactive, incomplete",Dairy,,Brown cheese,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
