,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
Hojicha (Ito En),"Inactive, incomplete",Flavour,,Hojicha,,,Ito En,C1039,1,0,0,0,0,0,1,99.8,0,0,0,0,0,0,0.2,0.2,0.0,0.0,0.0,,,Costco,,170,$20.00,$23.00,,,,$135.29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Hojicha infusion,"Active, completed",Mix-in,Wet,Hojicha infusion,,,Homemade,,277.08,0.00,0.00,0.00,16.30,16.30,1.65,#N/A,#N/A,100.0,#N/A,#REF!,#REF!,#REF!,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$3.02,3.48,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Hokey Pokey,"Active, completed",Mix-in,z.Topping,Hokey Pokey,,,Homemade,,1555.31,0.41,0.00,0.00,91.03,85.79,52.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$1.44,$1.66,,,,$1.66,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Honey hokey pokey,"Active, completed",Sugar,z.Topping,Honey hokey pokey,,,Homemade,,1291.45,0.35,0.00,0.00,75.61,73.00,3.64,-1191.4,#VALUE!,#REF!,#REF!,#REF!,#N/A,#N/A,1291.4,1218.1,0.0,#VALUE!,#VALUE!,,,Home made,,1000,$6.76,$7.77,,,,$7.77,,,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,
"Honey, manuka","Active, incomplete",Sugar,,Honey 'manuka',,,Manuka Doctor,W1018,294,0.04,0,0,17.2,14.9,0.7,17.2,0,0,38.2,31.2,0,0,82.8,67.9,0.0,131.9,86.8,,,Pak n save,,500,$13.03,$14.99,,,,$29.98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3
Hot cross bun infusion,"Active, completed",Mix-in,Wet,Hot cross bun infusion,,,Homemade,,1058.47,3.93,3.47,0.71,25.52,0.43,25.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$12.84,14.76,,,,$14.76,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Ice cream cone, waffle, 55mm (Altimate)","Active, completed",Other,Dry,"Ice cream cone, waffle, 55mm",,,Altimate,U1006,1710,8.1,6.9,1.22,76,6,,5.3,0,5.6,0.1,0.1,0,0,94.7,73.7,0.0,6.0,5.8,,,Davis,CNWB,4800,$52.89,$60.82,22-May-2025,,,$12.67,,,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2
"Ice cream cone, waffle, 65mm (Altimate)","Active, completed",Other,Dry,"Ice cream cone, waffle, 65mm",,,Altimate,U1006,1710,8.1,6.9,1.22,76,6,143,5.3,0,5.6,0.1,0.1,0,0,94.7,73.6,0.0,6.0,5.8,,,Davis,CNWC,240,$48.00,$55.20,,,,$230.00,,,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Icing sugar,"Active, incomplete",Sugar,,,,,,W32,,0,0,,,100,0,0,0,100,0,0,0,0,100.0,0.0,0.0,100.0,100.0,,,Pak n save,,1000,$2.00,$2.30,,,,$2.30,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Invert sugar,"Inactive, incomplete",Sugar,,Invert sugar,,,Generic,,,0,0,,,72.5,0,27.5,0,,,,0,,72.5,0.0,0.0,0.0,0.0,,,Davis,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Jaggery (Rabeena),"Active, completed",Sugar,Dry,Jaggery,,,Rabeena,,1568,0,0,0,93.4,80,0,0,0,65,15,0,0,0,100.0,20.0,0.0,93.5,90.5,,,,,750,$6.96,$8.00,,,,$10.67,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Kaffir Lime,"Inactive, incomplete",Fruit,,,,,,,,0,0,,,1.69,0,88.26,0,,,,0,,11.7,10.1,0.0,0.0,0.0,,,Pak N Save,,,$0.00,,,$5.99,35.51%,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Kasmiri Masala,"Inactive, incomplete",Flavour,,,,,,,,,,,,,0,,,,,,,,,0.0,0.0,0.0,,,,Pak n Save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Kiwifruit,"Inactive, incomplete",Fruit,,Kiwifruit,flesh,raw,Generic,L1267,,0.8,0.6,,,9.7,0,82.2,0,1.2,4.2,4.2,0,0,17.8,6.7,0.0,17.2,11.3,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Kumara, flesh, baked (Generic)","Active, incomplete",Vegetable,,Kumara,flesh,baked,Generic,F009033,357,2.3,0.1,0.1,59.2,23.4,12,74,0,3.3,1.5,2.1,0,0,26.0,0.2,0.0,10.1,7.3,,,Pak n Save,,1000,$3.47,$3.99,,,,$3.99,70,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Lactose,"Inactive, incomplete",Sugar,,Lactose,,,Generic,,,0,0,,,100,0,0,100,,,,0,,100.0,0.0,0.0,100.0,16.0,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Lemon (fresh),"Inactive, incomplete",Fruit,,Lemon,flesh,raw,Generic,L183,,0.6,0.3,,,2.1,3,92.2,0,0.5,0.7,0.9,0,0,7.8,4.8,0.0,3.5,2.3,,,Pak n save,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Lemon juice,"Active, completed",Fruit,Wet,Lemon,juice,,Generic,L91,100,0.3,0.2,0.04,1.6,1.6,2,91.3,0,0.2,0.9,0.5,0,0,8.7,6.6,0.0,2.9,2.1,250,300,Pak N Save,,250,$3.09,$3.55,,,,$14.20,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Lemon zest,"Active, completed",Fruit,Dry,Lemon,skin,,Generic,L184,127,1.5,0.3,0,2.8,2.8,6,85.5,0,0.7,0.9,1.2,0,0,14.5,9.9,0.0,4.7,3.1,,,Assume free,,100,$0.00,$0.00,,,,$0.00,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Lemon, juice (The Limery)","Active, completed",Fruit,Wet,Lemon,juice,,The Limery,,123,0.35,0.2,0.2,6.4,2.6,5,91.3,0,0.33,0.00,0.00,0,0,8.7,5.5,0.0,0.3,0.3,,,Pak N Save,,300,$4.34,$4.99,,,,$16.63,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3
Lime,"Inactive, incomplete",Fruit,,Lime,flesh,raw,Generic,,,0,0,,,1.69,0,88.26,0,,,,0,,11.7,10.1,0.0,0.0,0.0,,,Pak N Save,,,$0.00,,,$5.99,27.40%,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Lime juice (Limery),"Active, completed",Fruit,Wet,Lime,juice,raw,Limery,,104,0.184,0.2,0.2,5.5,2.2,1.1,92.5,0,0.4,0.6,0.6,0,0,7.5,4.9,0.0,2.7,1.8,,,Pak N Save,,750,$11.30,$12.99,,,,$17.32,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2
Liquid smoke (Culley's),"Active, completed",Flavour,Wet,Liquid smoke,,,Culley's,,188,0,0,0,6.1,0.1,0,80,0,0.1,0,0,0,0,20.0,19.9,0.0,0.1,0.1,,,Davis,SMOKEH,150,$7.63,$8.77,,,,$58.50,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Liquorice, black","Inactive, incomplete",Other,,,,,,W43,,4.1,1.5,,,44.6,106,15.1,0.1,27.3,4.9,7.8,0,0,84.9,34.6,0.0,51.5,41.1,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lychee (Double Phoenix),"Inactive, completed",Fruit,,Lychee,whole,in syrup,Double Phoenix,,310,0,0,0,17.3,17.3,5,81.9,0,0.8,8.3,8.6,0,0,18.1,0.8,0.0,32.9,20.9,,,Taiping,,565,$1.73,$1.99,,,,$3.52,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Lychee (Drained),"Inactive, incomplete",Fruit,,Lychee,whole,drained,Double Phoenix,,,0.9,0,,,16,30,82,0,0.7,7.5,7.8,0,0,18.0,1.1,0.0,29.8,18.9,,,Taiping,,,$0.00,,,$3.52,40%,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lychee, whole, in syrup (Chef's choice)","Active, completed",Fruit,Wet,Lychee,whole,in syrup,Chef's choice,,359,0,0,0,21,14,5,81.9,0,0.63,6.64,6.80,0,0,18.1,4.1,0.0,26.2,16.7,,,Davis,,565,$4.68,$5.38,22-May-2025,,,$9.53,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11 cans
"Lychee, whole, in syrup (Golden Sun)","Inactive, completed",Fruit,Wet,Lychee,whole,in syrup,Golden Sun,,316,0.6,0,0,17.1,16.9,19.3,81.9,0,0.76,8.02,8.21,0,0,18.1,0.6,0.0,31.6,20.1,,,Pak n Save,,565,$3.12,$3.59,,,,$6.35,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Macadamia paste,"Inactive, incomplete",Dried Fruit,,,,,,P22,,7.6,77.3,,,5.7,150,2,0,5.5,0.1,0.1,0,0,98.0,7.3,0.0,5.9,5.7,,,,,,$0.00,,,,,#DIV/0!,108.22,,0,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin juice (Farmers Fresh),"Active, completed",Fruit,Wet,Mandarins,juice,raw,,L1183,171,0.9,0.2,0.05,8.1,8.1,1,86.4,0,5.50,1.50,1.10,0,0.00,13.6,4.4,0.0,10.4,8.8,,,Farmers Fresh Fruit,,1000,$10.85,$12.48,,4.99,40%,$12.48,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Mandarins, whole, in syrup (Woolworths)",,Fruit,,Mandarins,whole,in syrup,Woolworths,,307,0.3,0,0,16.4,16.2,4,81,0,39.21,18.67,8.71,0,0.00,19.0,2.5,0.0,91.2,77.1,,,Woolworths,,310,$1.57,$1.80,,,,$5.81,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Mango (frozen),"Inactive, incomplete",Fruit,,Mango,flesh,frozen,Generic,,,0.5,0.3,,,10.7,2,84.8,0,6.3,3,1.4,0,0,15.2,3.7,0.0,14.7,12.4,,,"Majors (Reso Fine Foods, Boiron 39.16)",,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mango (Kesar), pulp, canned (Essente)","Inactive, completed",Fruit,,Mango (Kesar),pulp,canned,Essente,,418,1.68,0,0,23.9,15.9,5,74.9,0,10.9,3.8,1.1,0,0.0,25.1,7.5,0.0,20.4,18.2,,,Davis,MANGPC,5100,$28.80,$33.12,,,,$6.49,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6 cans
"Mango (Kesar), pulp, canned (Rasanand)","Active, completed",Fruit,Wet,Mango (Kesar),pulp,canned,Rasanand,,427,2.2,0,0,23,20,5,74.9,0,14.9,4.0,1.2,0,0.0,25.1,2.9,0.0,24.6,22.4,,,Davis,MANGPK,5100,$28.80,$33.12,22-May-2025,,,$6.49,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Mango (Shana),"Inactive, completed",Fruit,,Mango,flesh,frozen,Shana,,,0.7,0,,,17.5,11,78,0,47.1,22.4,10.5,0,0.0,22.0,3.8,0.0,109.6,92.6,,,Super Foods ,,,$0.00,,,,,#DIV/0!,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Mango, flesh, raw","Inactive, incomplete",Fruit,,,,,,L101,,0.5,0.2,,,14.1,70,83,0,9.7,3.4,1,0,0,17.0,2.1,0.0,18.1,16.2,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mango, pulp, canned (Essente)","Active, completed",Fruit,Wet,Mango,pulp,canned,Essente,,423,1.83,0,0,23.5,18.6,5,74.9,0,12.8,4.5,1.3,0,0.0,25.1,4.7,0.0,23.8,21.3,,,Davis,MANGPA,5100,$28.80,$33.12,,,,$6.49,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Mango, pulp, canned (Orchard Gold)","Inactive, incomplete",Fruit,,,,,,,,0.3,0.1,,,22.7,50,74.9,0,18.1,3.5,1.1,0,0,25.1,1.9,0.0,26.8,24.8,,,Patel Brothers,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mango, pulp, UHT (Rogelfruit)","Inactive, incomplete",Fruit,,,,,,,,0.5,0.27,,,14.6,5,83,0,10,3.5,1.1,0,0,17.0,1.6,0.0,18.7,16.7,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Maple syrup (Kirkland),"Active, completed",Sugar,Wet,Maple syrup,,,Kirkland,,1530,0,0,0,90.9,79.3,15,32.2,0,77.97612688,0.45,0.86,0,0,67.8,-11.5,0.0,80.5,79.3,,,Costco,,1000,$20.00,$23.00,,,,$23.00,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1 bucket
Maple syrup (O'Canada),"Active, completed",Sugar,Wet,Maple syrup,,,O'Canada,,1105,0,0,0,65,65,1,32.2,0,63.9148581,0.37,0.71,0,0,67.8,2.8,0.0,66.0,65.0,,,New World,,250,$9.03,$10.39,,,,$41.56,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Maple syrup (Pams Finest),"Active, completed",Sugar,Wet,Maple syrup,,,Pams Finest,,1510,0,0,0,88.4,82,17,32.2,0,80.63105175,0.47,0.89,0,0,67.8,-14.2,0.0,83.2,82.0,,,Pak N Save,,250,$8.34,$9.59,,,,$38.36,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Marsala,"Inactive, incomplete",Alcohol,,Marsala,,,Generic,,,0.2,0,,,20,20,70.5,0,0,20,0,25,0,29.5,9.3,0.0,223.0,34.0,,,Liquor land,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Masala chai infusion,"Active, completed",Mix-in,z.Infusion,Masala chai infusion,,,Homemade,,1399.75,8.36,9.90,1.96,40.69,22.78,8.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$52.14,$59.96,,,,$59.96,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Mascarpone (Tatua),"Inactive, incomplete",Dairy,Wet,Mascarpone,,,Tatua,,1410,1.7,35,23.1,5.1,2.5,55,55,2.5,0,0,0,0,0,57.2,18.0,22.2,2.5,0.4,,,Davis,,1000,$13.06,$15.02,,,,$15.02,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Matcha,"Active, incomplete",Other,Dry,Matcha,,,Matcha Matcha,,,,,,,,0,,,,,,,,,0.0,0.0,0.0,,,,Matcha Matcha,,250,$65.00,$74.75,,,,$299.00,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Melon, rock, flesh, raw","Inactive, incomplete",Fruit,,,,,,L106,,1.1,0.1,,,6.1,70,90,0,1.5,2.9,1.7,0,0,10.0,2.6,0.0,10.2,7.6,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Milk,"Active, completed",Dairy,Wet,Milk,,,Value,,263,3.3,3.4,2.3,4.8,4.8,40,88.2,4.8,0,0,0,0,0,11.8,0.3,8.4,4.8,0.8,,,Pak n save,,3000,$5.82,$6.69,,,,$2.23,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Milk chocolate, 33% (Whittakers)","Inactive, completed",Chocolate,,"Milk chocolate, 33%",,,Whittakers,,2350,9.2,35.6,19.5,51.8,44.7,70,2.2,7.4,37,0.2,0.1,0,0,97.8,8.2,0.0,45.0,38.6,,,Pak n Save,,250,$4.34,$4.99,,,,$19.96,34.38,5,28,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Milk powder (Pams),"Active, completed",Dairy,Dry,Milk powder,,,Pams,,281,3.2,3.8,2.3,5,5,37,0.2,5,0,0,0,0,0,99.8,87.8,96.0,5.0,0.8,,,Pak n Save,,400,$6.08,$6.99,,,,$17.48,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Milk, Standard, 2l (Value)","Active, completed",Dairy,Wet,"Milk, Standard, 2l",,,Value,,263,3.3,3.4,2.3,4.8,4.8,40,88.2,4.8,0,0,0,0,0,11.8,0.3,8.4,4.8,0.8,,,Pak n save,,2000,$3.24,$3.73,,,,$1.87,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Milk, Standard, 3l (Value)","Active, completed",Dairy,Wet,"Milk, Standard, 3l",,,Value,,263,3.3,3.4,2.3,4.8,4.8,40,88.2,4.8,0,0,0,0,0,11.8,0.3,8.4,4.8,0.8,,,Pak n save,,3000,$5.82,$6.69,,,,$2.23,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Mixed Berries, frozen (Essente)","Active, completed",Fruit,Wet,Mixed Berries,,frozen,Essente,,220,1,0.4,0.01,10.6,6.5,1.9,85.2,0,0,3,3,0,0,14.8,6.9,0.0,12.9,8.1,,,Davis,,1000,$7.56,$8.69,,,,$8.69,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6kg
Mixed spice,"Active, completed",Flavour,Dry,Mixed spice,,,,,1050,3.9,3.2,0.65,25.5,0,26,9.5,0,0,0,0,0,0,90.5,83.4,0.0,0.0,0.0,,,Davis,spicem1,1000,$12.80,$14.72,,,,$14.72,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Mou sauce,"Active, completed",Mix-in,z.Topping,Mou sauce,,,Homemade,,1818.20,0.69,21.91,14.20,58.00,58.00,86.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$4.28,$4.93,,,,$4.93,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Muscovado sugar, 'light'","Inactive, incomplete",Sugar,,"Muscovado sugar, 'light'",,,Generic,,,1,0,,,98,0,1,0,98,,,0,,99.0,0.0,0.0,98.0,98.0,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Neutro (Crema),"Active, completed",Stabilizer,Dry,"Neutro, 'Crema'",,,Rubicone,,1690.26,0,48.89,22.81,0,0,10,0,0,0,0,0,0,0,100.0,51.1,0.0,0.0,0.0,,,Majors,,1500,$78.00,$89.70,,,,$59.80,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2 bags
Neutro (Sorbetto),"Active, completed",Stabilizer,Dry,Neutro 'Sorbetto',,,Rubicone,,812.21,1.5,7.43,4.65,32,30,1,0,0,0,0,0,0,30,100.0,61.1,0.0,51.9,19.1,,,Majors,,1500,$78.00,$89.70,,,,$59.80,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2 bags
"Neutro, 'Crema' (Essenza)",Inactive,Stabilizer,,"Neutro, 'Crema'",,,Essenza,,,0,0,,,0,0,0,0,0,0,0,0,0,100.0,100.0,0.0,0.0,0.0,,,Majors,,1500,$63.30,$72.80,,,,$48.53,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Nutmeg, ground","Active, completed",Flavour,Dry,Nutmeg,,ground,,P42,1960,5.8,36.3,25.9,20.7,16.6,16,6.2,0,0,8.3,8.3,0,0,93.8,35.1,0.0,31.5,19.9,,,Pak n Save,,40,$1.90,$2.18,,,,,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Oat milk (Boring),"Active, completed",Other,Wet,Oat milk,,,Boring,,182,0.6,1.4,0.3,6.7,4,48,84.7,0,0,0,4,0,0,15.3,9.3,0.0,7.6,2.8,,,Pak N Save,,1000,$3.90,$4.49,,,,$4.49,0.00,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,
Oat milk (Otis),"Inactive, completed",Other,,Oat milk,,,Otis,,182,1.2,3,0.3,6.5,3.9,40,84.7,0,0,0,3.9,0,0,15.3,7.2,0.0,7.4,2.7,,,Pak N Save,,1000,$4.35,$5.00,,,,$5.00,0.00,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,
"Oat milk, barista grade (Boring)","Inactive, completed",Other,,"Oat milk, barista grade",,,Boring,,229,0.6,2.7,0.4,6.6,4,40,84.7,0,0,0,4,0,0,15.3,8.0,0.0,7.6,2.8,,,Pak N Save,,1000,$3.90,$4.49,,,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat milk, unsweetened","Inactive, incomplete",Other,,,,,,C1125,,0.7,1.2,,,1.5,44,86.8,0,0,0,1.5,0,0,13.2,9.8,0.0,2.9,1.1,,,Pak n save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Oats, raw, rolled","Active, completed",Other,Dry,"Oats, 'rolled'",whole,,Generic,E1075,1510,12.2,7.2,1.32,56.7,1,0,9.6,0,1,0,0,0,0,90.4,70.0,0.0,1.0,1.0,,,Pak n save,,1500,$4.17,$4.79,,,,$3.19,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,
"Olive oil, 'Extra Virgin' (Pams)","Active, completed",Other,Wet,"Olive oil, 'Extra Virgin'",,,Pams,J10001,3390,0,91.5,11.5,0,0,0,8.4,0,0,0,0,0,0,91.6,0.1,0.0,0.0,0.0,,,Pak N Save,,1000,$11.30,$12.99,,,,$12.99,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Orange, juice (McCoy)","Inactive, incomplete",Fruit,,Orange,juice,,McCoy,,191,1,1,0,8.9,8.8,3.2,89,0,4.1,2.6,2.1,0,0,11.0,0.2,0.0,13.0,10.0,,,Pak n Save,,1000,$3.12,$3.59,,,,$3.59,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Palm Sugar,"Inactive, incomplete",Sugar,,Palm sugar,,,,,,0.04,0.38,,,91.1,27,1.49,0,84.62279,3.1885,3.28871,0,0,98.5,7.0,0.0,96.9,92.3,,,Taiping,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Pandan,"Active, incomplete",Flavour,z.Infusion,Pandan,,raw,,,,,,,,,0,,,,,,,,100.0,100.0,0.0,0.0,0.0,,,Taiping,,200,$2.50,$2.87,,,,$14.35,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Passion fruit, pulp, frozen (Essente)","Active, completed",Fruit,Wet,Passion fruit,pulp,frozen,Essente,,461,2.2,0.7,,23.5,11.2,28,72.9,0,3.6,3.4,4.3,0,,27.1,13.0,0.0,18.1,12.3,,,Davis,PASPNS,5000,$33.02,$37.97,,,,$7.59,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Passionfruit (w/out seed), pulp, frozen (Essente)","Active, completed",Fruit,Wet,Passionfruit (w/out seed),pulp,frozen,Essente,,461,2.2,0,0,23.5,11,28,74,0,3.666666667,3.666666667,3.666666667,0,0,26.0,12.8,0.0,17.6,12.5,,,Davis,PASPNS,5000,$33.90,$38.99,,,,$7.80,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5kg
"Passionfruit (with seed), pulp, frozen (Essente)","Active, completed",Fruit,Wet,Passionfruit (with seed),pulp,frozen,Essente,,461,2.2,0,0,23.5,11,28,74,0,3.666666667,3.666666667,3.666666667,0,0,26.0,12.8,0.0,17.6,12.5,,,Davis,PASPNS,500,$3.95,$4.54,,,,$9.09,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Peach, fresh","Inactive, incomplete",Fruit,,Peach,flesh,raw,Generic,L217,,0.6,0.1,,,8,0,89.5,0,5.4,1.3,1.2,0,0,10.5,1.8,0.0,10.2,8.5,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Peanut butter (Pams),"Active, completed",Dried Fruit,Wet,Peanut butter,,,Pams,,2630,30,52.3,8.2,7.2,3.4,259,0.6,0,3.4,0,0,0,0,99.4,13.4,0.0,3.4,3.4,,,Pak n Save,,1000,$4.34,$4.99,,,,$4.99,,,0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Peanut butter, smooth (Fix & Fogg)","Inactive, completed",Dried Fruit,,"Peanut butter, 'smooth'",,,Fix & Fogg,,2486,26.9,46,5.9,15.6,5.5,139,0.6,0,5.5,0,0,0,0,99.4,20.9,0.0,5.5,5.5,,,Pak n Save,,750,$9.38,$10.79,,,,$14.39,64.4,,0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
